Summary,Issue Type,Description,Priority,Epic Name,Epic Link,Story Points,Labels,Component,Sprint,Status
Build policy database connector (PostgreSQL/SQL Server),Story,"Direct queries for ACORD data, Statement of Values, endorsements, loss runs. Map KB documents_expected to database queries per lender/waiver combination. Read-only connection with connection pooling.",Medium,,Phase 3: Document Retrieval,5,"backend,database",Backend,Sprint 8,To Do
Create Unified Search API,Story,"Single endpoint that queries all sources (SharePoint, OneDrive, DB) in parallel. Ranked results by relevance. Deduplication across sources. Return: filename, source, path, modified_date, download_url, match_score.",High,,Phase 3: Document Retrieval,8,"backend,api",Backend,Sprint 8,To Do
Auto-retrieve documents per classification,Story,"After email is classified, automatically search for documents listed in KB documents_expected. Map lender/waiver → required documents → search queries. Attach found documents to classification record. Flag missing documents.",High,,Phase 3: Document Retrieval,8,"backend,ai",Backend,Sprint 8,To Do
Document retrieval dashboard view,Story,Show retrieved documents per classification with status (found/missing/pending). Allow manual document attachment. Download individual or bulk. Visual indicator of completeness (3/5 documents found).,Medium,,Phase 3: Document Retrieval,5,"frontend,dashboard",Frontend,Sprint 9,To Do
Phase 4: WaiverPack Assembly,Epic,"Automated document bundle assembly per lender rules. ACORD form auto-fill, response letter generation, and package delivery.",High,Phase 4: WaiverPack Assembly,,,,,,To Do
Build WaiverPack assembly engine,Story,"Per lender/waiver combination, assemble required document package following KB waiver_pack field. Components: cover letter, ACORD forms, SOV, endorsements, loss runs, COIs. Generate ZIP or PDF bundle. Template-driven per lender.",High,,Phase 4: WaiverPack Assembly,13,"backend,assembly",Backend,Sprint 9,To Do
"ACORD form auto-fill (25, 28, 101)",Story,"Parse ACORD 25 (Certificate of Liability), ACORD 28 (Property), ACORD 101 (Additional Remarks) PDF templates. Auto-fill fields from policy database: insured name, policy numbers, limits, effective dates, mortgagee info. Generate pre-filled PDFs.",High,,Phase 4: WaiverPack Assembly,13,"backend,assembly",Backend,Sprint 10,To Do
Response letter template engine,Story,"Per-lender response letter templates. Merge fields: property name, loan number, deficiency details, resolution actions. Support for exhibits (A/B) attachment. Markdown → PDF or DOCX conversion.",Medium,,Phase 4: WaiverPack Assembly,8,"backend,assembly",Backend,Sprint 10,To Do
WaiverPack review and delivery UI,Story,Dashboard view showing assembled WaiverPack contents. Preview individual documents. Approve/reject package. One-click delivery via email (Graph API) or download. Track delivery status.,Medium,,Phase 4: WaiverPack Assembly,8,"frontend,dashboard",Frontend,Sprint 11,To Do
Phase 5: Orchestration & Go-Live,Epic,"Workflow engine, SLA monitoring, production deployment, UAT, and training.",High,Phase 5: Orchestration & Go-Live,,,,,,To Do
Implement workflow state machine,Story,Email lifecycle: received → classified → documents_retrieved → pack_assembled → reviewed → sent → archived. State transitions with validation. Celery task queues for async processing steps.,High,,Phase 5: Orchestration & Go-Live,8,"backend,orchestration",Backend,Sprint 11,To Do
SLA monitoring and alerting per lender,Story,"Configure response SLA per lender (e.g., Capital One 5 days, JLL 3 days). Track time since email received. Dashboard SLA countdown. Email/Slack alerts when approaching deadline. Escalation rules.",High,,Phase 5: Orchestration & Go-Live,8,"backend,orchestration",Backend,Sprint 12,To Do
Production deployment with PostgreSQL,Story,"Migrate from SQLite to PostgreSQL. Configure asyncpg driver. Docker Compose for all services (API, Ollama, PostgreSQL, Celery, Redis). Terraform IaC for AWS/Azure deployment. SSL, CORS, rate limiting.",High,,Phase 5: Orchestration & Go-Live,8,"devops,infrastructure",DevOps,Sprint 12,To Do
Operator training and documentation,Story,User guide for dashboard operations. Admin guide for KB management. API documentation (OpenAPI/Swagger auto-generated). Video walkthrough of classification → review → correction flow.,Medium,,Phase 5: Orchestration & Go-Live,5,documentation,PM,Sprint 13,To Do
UAT with operations team (3-5 operators),Story,"2-week UAT period with real email flow. Track accuracy metrics. Collect operator feedback. Bug fixes and prompt tuning based on results. Sign-off criteria: >90% lender detection, <10% correction rate.",High,,Phase 5: Orchestration & Go-Live,8,"testing,validation",QA,Sprint 13,To Do
Production go-live and monitoring setup,Story,"Cutover plan: shadow mode (classify but don't act) → assisted mode (suggest + confirm) → auto mode (high confidence auto-process). Monitoring: Datadog/CloudWatch dashboards, error alerting, performance metrics. Runbook for common issues.",High,,Phase 5: Orchestration & Go-Live,5,"devops,infrastructure",DevOps,Sprint 14,To Do
Continuous Improvement,Epic,"Ongoing accuracy improvements, new lender onboarding, and feedback loop optimization.",High,Continuous Improvement,,,,,,To Do
Build correction feedback loop for LLM prompt tuning,Story,"Aggregate correction data: which lenders get misclassified, which waiver types are confused. Auto-generate few-shot examples from approved corrections. A/B test prompt variations. Track accuracy trend over time.",Medium,,Continuous Improvement,8,"backend,ai",Backend,Backlog,To Do
New lender onboarding workflow,Story,"Admin UI to add new lenders: name, aliases, domains, waiver types, triggers, evidence requirements. No code changes needed. Validate against sample emails. Auto-update domain map and KB text for LLM.",Medium,,Continuous Improvement,8,"backend,frontend",Backend,Backlog,To Do
Classification accuracy reporting dashboard,Story,"Monthly accuracy report: classifications by lender, correction rates, confidence distribution, processing time trends. Compare against baseline. Export to PDF for stakeholder review.",Low,,Continuous Improvement,5,"frontend,reporting",Frontend,Backlog,To Do
Upgrade to larger LLM model for complex emails,Story,"Evaluate llama3.1:70b or cloud models (Claude API, GPT-4) for emails with low confidence. Implement model cascade: fast model (8b) first, escalate to larger model if confidence < threshold. Cost/accuracy tradeoff analysis.",Low,,Continuous Improvement,5,"backend,ai",Backend,Backlog,To Do
